epsilon,n_seeds,uniform_mean,uniform_std,canal_raw_mean,canal_raw_std,canal_honest_mean,canal_honest_std,honest_lift,honest_lift_sem,honest_t_stat,sigma_imp
0.1,3,0.782,0.0048,0.7853,0.001,0.7565,0.0024,-0.0255,0.0039,-6.58,14.65
0.5,3,0.811,0.0023,0.8085,0.003,0.7349,0.0038,-0.0761,0.0035,-21.61,2.96
1.0,3,0.8244,0.0025,0.8263,0.0016,0.8229,0.0033,-0.0015,0.0006,-2.7,1.49
2.0,3,0.8356,0.0015,0.8373,0.0024,0.8348,0.0004,-0.0008,0.0007,-1.25,0.76
4.0,3,0.8424,0.0011,0.8421,0.0039,0.8416,0.0027,-0.0008,0.0019,-0.43,0.39
6.0,3,0.8427,0.0023,0.8449,0.0012,0.8427,0.0004,0.0001,0.0016,0.04,0.27
8.0,3,0.8412,0.0024,0.8426,0.0006,0.8449,0.0002,0.0038,0.0013,2.84,0.21
